OTUID,Kingdom,Phylum,Order,Class,Family,Genus,Species
6082e6fcdeba1ec8703a4e3b710a9e2d,D_0__Archaea,D_1__Nanoarchaeaeota,D_2__Woesearchaeia,,,,
608df9d9da2290fc9d34a0a34acff71c,D_0__Bacteria,D_1__Chloroflexi,D_2__Chloroflexia,D_3__Chloroflexales,D_4__Chloroflexaceae,D_5__CandidatusChlorothrix,
60a3638e939afc5681e63e6525ed5e52,D_0__Bacteria,D_1__Patescibacteria,D_2__Parcubacteria,D_3__CandidatusGiovannonibacteria,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
60a41521ea075b1df6993d94afe64bee,D_0__Bacteria,D_1__Planctomycetes,D_2__Phycisphaerae,D_3__Phycisphaerales,D_4__AKAU3564sedimentgroup,D_5__unculturedorganism,D_6__unculturedorganism
60a564a8d7cd2b6aaf2796cc87bb1a41,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Desulfarculales,D_4__Desulfarculaceae,D_5__uncultured,
60a59bce14b05d63ccdf88dc72774edf,D_0__Bacteria,D_1__Planctomycetes,D_2__OM190,D_3__unculturedbacterium,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
60a91e26eec458959d8328618c923b51,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Desulfovibrionales,D_4__Desulfovibrionaceae,D_5__Mailhella,D_6__Mailhellamassiliensis
60af21aecaec8d8dea8f30d589ee9099,D_0__Bacteria,D_1__Cyanobacteria,D_2__Oxyphotobacteria,D_3__Chloroplast,D_4__Vischeriasp.CAUPQ202,D_5__Vischeriasp.CAUPQ202,D_6__Vischeriasp.CAUPQ202
60b135d74f972e462d0780036d088baa,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Solibacterales,D_4__Solibacteraceae(Subgroup3),D_5__Bryobacter,
60b28cebb146d4a3166c1a9ba0dc2fc6,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__FamilyXI,D_5__Peptoniphilus,
60b7dd5e56c47ea36bbaf6233022f67f,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Bdellovibrionales,D_4__Bdellovibrionaceae,D_5__OM27clade,D_6__unculturedbacterium
60b8473e0a3982d83720e08c36038607,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__GammaproteobacteriaIncertaeSedis,D_4__UnknownFamily,D_5__unculturedbacterium,D_6__unculturedbacterium
60ba380baef588b09a0732a9ea6f1c55,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__KD1-131,D_5__unculturedbacterium,D_6__unculturedbacterium
60c110420dac90ab21470378ff516de7,D_0__Bacteria,D_1__Firmicutes,D_2__Negativicutes,D_3__Selenomonadales,D_4__Veillonellaceae,D_5__uncultured,D_6__unculturedbacterium
60c5f37644d658f7b253195d95eaba86,D_0__Archaea,D_1__Euryarchaeota,D_2__Thermoplasmata,D_3__MarineGroupII,D_4__unculturedeuryarchaeote,D_5__unculturedeuryarchaeote,D_6__unculturedeuryarchaeote
60ca326b42f691bb65444b86d19383ec,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Myxococcales,D_4__mle1-27,D_5__unculturedPolyangiaceaebacterium,D_6__unculturedPolyangiaceaebacterium
60cc941f43c5f9b8210a17a71fb4d1a3,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Oligoflexales,D_4__0319-6G20,,
60d615e577dc4837b387ee42b4ff0752,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Peptococcaceae,D_5__uncultured,D_6__unculturedDehalobacteriumsp.
60d9f8ebf5aa3d141c2ad2de84eaa654,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Oligoflexales,D_4__Oligoflexaceae,D_5__Silvanigrella,
60df4aed33580e68672d4bd9203ab1c7,D_0__Bacteria,D_1__Patescibacteria,D_2__Berkelbacteria,D_3__CandidatusBerkelbacteriabacteriumRIFOXYA2_FULL_43_10,D_4__CandidatusBerkelbacteriabacteriumRIFOXYA2_FULL_43_10,D_5__CandidatusBerkelbacteriabacteriumRIFOXYA2_FULL_43_10,D_6__CandidatusBerkelbacteriabacteriumRIFOXYA2_FULL_43_10
6100b1ea6b10a1a5920557c58f2fa07d,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__SB-5,D_5__unculturedBacteroidetesbacterium,D_6__unculturedBacteroidetesbacterium
6100c7e3d747105de351ead9f083f287,Unassigned,,,,,,
610815d2bf635ed93657990bc3eb9ee7,D_0__Bacteria,D_1__Elusimicrobia,D_2__Endomicrobia,D_3__Endomicrobiales,D_4__Endomicrobiaceae,D_5__CandidatusEndomicrobium,D_6__metagenome
611a391a8030af586b124587dd7928f8,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Subgroup7,D_4__AcidobacteriabacteriumenrichmentculturecloneCV-04,D_5__AcidobacteriabacteriumenrichmentculturecloneCV-04,D_6__AcidobacteriabacteriumenrichmentculturecloneCV-04
611b7c7f3dd84d10ad217577623196ba,D_0__Bacteria,D_1__Planctomycetes,D_2__Pla4lineage,D_3__unculturedplanctomycete,D_4__unculturedplanctomycete,D_5__unculturedplanctomycete,D_6__unculturedplanctomycete
611e969ffcf02c2a9682424e3226374c,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Methylococcales,D_4__Methylococcaceae,D_5__Methyloparacoccus,D_6__unculturedbacterium
6121f28e2b2a35f418458b0354780de1,D_0__Bacteria,D_1__Chloroflexi,D_2__Anaerolineae,D_3__Anaerolineales,D_4__Anaerolineaceae,D_5__uncultured,D_6__unculturedChloroflexibacterium
61250920653be8a73fc8e6689f8a89d1,D_0__Bacteria,D_1__Patescibacteria,D_2__Parcubacteria,D_3__unculturedbacterium,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
6128c061f0201a07dcabe9199a0ba49e,D_0__Bacteria,D_1__Spirochaetes,D_2__Spirochaetia,D_3__Spirochaetales,D_4__Spirochaetaceae,D_5__Treponema2,D_6__Treponemaberlinense
612a9dda8cca68e8c41bc25f4612da70,D_0__Bacteria,D_1__Firmicutes,D_2__Negativicutes,D_3__Selenomonadales,D_4__Veillonellaceae,D_5__uncultured,D_6__unculturedPeptococcaceaebacterium
613071efecd1893d3add8f0e8ca5886e,D_0__Bacteria,D_1__Proteobacteria,,,,,
6130bf31f6a2b26b7f9d7e18752ec1c9,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Streptosporangiales,D_4__Thermomonosporaceae,D_5__[Streptomyces]thermoautotrophicus,D_6__Streptomycesthermoautotrophicus
6134c2e67a3e6c9f089e46f277d4080e,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,,,
61383b93aa2aabb72a06b71347ed28be,D_0__Bacteria,D_1__Planctomycetes,D_2__Phycisphaerae,D_3__Amsterdam-1B-07,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
6139a02fb18a0e471863948569349ae9,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Clostridiaceae1,D_5__Fonticella,D_6__unculturedbacterium
614591ae755bc0641a50b83bcb6afaa4,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__SAR324clade(MarinegroupB),D_4__unculturedbacteriumzdt-33i5,D_5__unculturedbacteriumzdt-33i5,D_6__unculturedbacteriumzdt-33i5
61471236a4ea85a2c56003a7b33d9a81,D_0__Bacteria,D_1__Armatimonadetes,D_2__uncultured,,,,
61472cfcf678524c7953abc77b8c9127,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Microscillaceae,D_5__uncultured,D_6__unculturedbacterium
614913c22ead188f27080ca4fb35d609,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__Sphingobacteriaceae,D_5__Sphingobacterium,
614d4d8187751bcbd460ae10d31f765c,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Ruminococcaceae,D_5__Butyricicoccus,
614f0abeace4c62e6175b0b07bbf4268,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__BacteroidetesvadinHA17,D_5__unculturedprokaryote,D_6__unculturedprokaryote
614f7de5e9fc0496c36a2f498f900bc4,D_0__Bacteria,D_1__Chlamydiae,D_2__Chlamydiae,D_3__Chlamydiales,D_4__Simkaniaceae,D_5__uncultured,D_6__unculturedbacterium
61522b21f02e2ba5d7b4745bdfc137b2,D_0__Bacteria,D_1__Spirochaetes,D_2__Spirochaetia,D_3__Spirochaetales,D_4__Spirochaetaceae,D_5__Treponema,D_6__unculturedsoilbacterium
61535a40adb8221483821e3984d0b1ac,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Lachnospiraceae,D_5__[Ruminococcus]gauvreauiigroup,
6159d220c340f8b60c8291bec9e06a04,D_0__Bacteria,D_1__Modulibacteria,D_2__Moduliflexia,D_3__Moduliflexales,D_4__Moduliflexaceae,D_5__unculturedbacterium,D_6__unculturedbacterium
6164f90cf0f389394027a84b59b288aa,D_0__Bacteria,D_1__Latescibacteria,D_2__metagenome,D_3__metagenome,D_4__metagenome,D_5__metagenome,D_6__metagenome
616e9b35ca71305a448c8630cb4d62d2,D_0__Bacteria,D_1__Patescibacteria,D_2__Microgenomatia,D_3__CandidatusAmesbacteria,,,
61708f887f761f014140511136f7faf5,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__uncultured,D_6__metagenome
617350362292ec5f29b2c5a7768be11c,D_0__Bacteria,D_1__Lentisphaerae,D_2__Oligosphaeria,D_3__Oligosphaerales,D_4__Lenti-02,D_5__unculturedbacterium,D_6__unculturedbacterium
617d4b0872bc6c2bb63510e98e2d3667,D_0__Bacteria,D_1__Firmicutes,D_2__Negativicutes,D_3__Selenomonadales,D_4__Veillonellaceae,D_5__uncultured,D_6__Sporomusaceaebacterium
617de762c56348e5e642e172616184b5,D_0__Bacteria,D_1__Elusimicrobia,D_2__Elusimicrobia,D_3__MD2894-B20,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
618055a83d19966a745cef14f8d388b8,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Clostridiaceae1,,
618833a84f22658877ec5bd0af7592ce,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,,,
618c26c64085876972582938ec039386,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rickettsiales,D_4__Mitochondria,,
618ca5e7c74de7c404ab2ee8aaaafda3,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup17,,,,
618e6afde3686908d84b7e13d0f18df9,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Pedosphaerales,D_4__Pedosphaeraceae,D_5__bacteriumEllin517,D_6__bacteriumEllin517
61906328c3e31f1b6e49618f4b6ae3ae,D_0__Bacteria,D_1__Chloroflexi,D_2__Anaerolineae,D_3__MSB-5E12,,,
6191f3fd089658b8c0d51d6460481f71,D_0__Bacteria,D_1__Gemmatimonadetes,D_2__BD2-11terrestrialgroup,D_3__metagenome,D_4__metagenome,D_5__metagenome,D_6__metagenome
61949acf2b4b65f2f11535a1a6ba4993,D_0__Bacteria,D_1__Chloroflexi,D_2__Anaerolineae,D_3__Caldilineales,D_4__Caldilineaceae,D_5__uncultured,D_6__metagenome
619635d2b547d81b38205b847afd9024,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Acetobacterales,D_4__Acetobacteraceae,D_5__Rubritepida,D_6__unculturedbacterium
6197fd64ee29325c1ec8390e550421cb,D_0__Bacteria,D_1__Planctomycetes,D_2__Planctomycetacia,D_3__Gemmatales,D_4__Gemmataceae,D_5__Gemmata,D_6__metagenome
6198cc0fbea5ddf18f404cefecac0d81,D_0__Bacteria,D_1__Chloroflexi,D_2__Anaerolineae,D_3__SBR1031,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
619f4fd746f64da0eae8e432c75aa035,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Bdellovibrionales,D_4__Bdellovibrionaceae,D_5__Bdellovibrio,
61a06cbe41c5ff84a79ee17d6dd6c027,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,,,,
61a4dc8176392c90afbf1367320591b6,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales,D_4__Ruminococcaceae,D_5__RuminococcaceaeUCG-013,D_6__unculturedClostridialesbacterium
61abfd2a32eb06ea809357c6c64aa64f,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales,D_4__Prevotellaceae,D_5__Alloprevotella,
61ad950d49c4c8d7923e6f47dfe4331a,D_0__Bacteria,D_1__Patescibacteria,D_2__Parcubacteria,D_3__unculturedbacterium,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
61b0839dfab95256638ff2816966d88e,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Sva0485,D_4__unculturedbacterium,D_5__unculturedbacterium,D_6__unculturedbacterium
61b1eff5cdde863a62313a23a2163d9d,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__Lentimicrobiaceae,,
